"BranchID","BranchName","DeptID","DeptName","CategoryID","CategoryName","Qty","NetSales","Cost","GM$","GM%","TranDate_DDMMYYYY"
564,Maxval-u Supermart - Lami,"29",School & Office,"2908",Files/ Folders And Recordables,"2.0000","1.1009","0.7800","0.3209","29.1400","02/01/2022"
545,Maxval-u Supermart - Labasa Town,"70",Tobacco,"7001",Tobacco,"6.0000","50.7339","48.1910","2.5429","5.0100","02/01/2022"
517,Maxval-u Supermart - Flagstaff,"72",Cafe,"7210",Cafe Items,"3.0000","0.4128","0.2750","0.1378","33.3800","02/01/2022"
561,Maxval-u Supermart - Naulu,"61",Supermarket (Non-Food),"6111",Hair Care,"19.0000","68.7430","54.5290","14.2140","20.6700","05/01/2022"
532,Maxval-u Supermart - Tavua,"69",Alcoholic Beverage,"6903",Imported Wines,"21.0000","92.4312","82.5950","9.8362","10.6400","07/01/2022"
564,Maxval-u Supermart - Lami,"58",Food,"5839",Salt,"32.0000","21.1193","20.1870","0.9323","4.4100","05/01/2022"
531,Maxval-u Supermart - Ba,"63",Frozen,"6305",Frozen Vegetables,"39.0000","91.9724","62.2050","29.7674","32.3600","01/01/2022"
561,Maxval-u Supermart - Naulu,"25",Homeware,"2515",Kitchen Series,"5.0000","73.1652","37.4340","35.7312","48.8300","07/01/2022"
581,Maxval-u Supermart - Valelevu,"58",Food,"5819",Baked Bean / Spaghetti,"24.0000","44.0367","37.6360","6.4007","14.5300","01/01/2022"
512,Maxval-u Supermart - City Homemaker,"68",Delicatessen,"6811",Frozen Chicken,"68.3380","464.4864","392.4910","71.9954","15.5000","06/01/2022"
524,Maxval-u Supermart - Namaka,"58",Food,"5819",Baked Bean / Spaghetti,"10.0000","20.8257","15.5210","5.3047","25.4700","05/01/2022"
532,Maxval-u Supermart - Tavua,"58",Food,"5839",Salt,"125.0000","68.9909","65.6210","3.3699","4.8800","01/01/2022"
532,Maxval-u Supermart - Tavua,"70",Tobacco,"7001",Tobacco,"12.0000","86.9725","82.6200","4.3525","5.0000","06/01/2022"
514,MHCC Level 1 Supermarket,"58",Food,"5821",Canned Meat,"99.0000","358.9358","338.9930","19.9428","5.5500","01/01/2022"
530,Maxval-u Nadi Lodhia,"58",Food,"5847",Canned Fish,"1070.0000","2069.9634","1913.5580","156.4054","7.5500","01/01/2022"
